BestError tolerance Kp Ki Kd
548 CTE: 0.2396 Steering Value: 0.309735
549 CTE: 0.2243 Steering Value: 0.501439
550 CTE: 0.2243 Steering Value: -0.00856054
551 CTE: 0.2088 Steering Value: 0.567231
552 CTE: 0.1915 Steering Value: 0.425045
553 CTE: 0.175 Steering Value: 0.533391
554 CTE: 0.1603 Steering Value: 0.507823
555 CTE: 0.148 Steering Value: 0.437539
556 CTE: 0.148 Steering Value: 0.0757755
557 CTE: 0.1391 Steering Value: 0.3542
558 CTE: 0.1311 Steering Value: 0.191535
559 CTE: 0.1268 Steering Value: 0.156199
560 CTE: 0.1251 Steering Value: 0.0580637
561 CTE: 0.126 Steering Value: -0.0249156
562 CTE: 0.1287 Steering Value: -0.101547
563 CTE: 0.1328 Steering Value: -0.143969
564 CTE: 0.1374 Steering Value: -0.194862
565 CTE: 0.1374 Steering Value: -0.0595669
566 CTE: 0.1415 Steering Value: -0.201743
567 CTE: 0.1461 Steering Value: -0.196768
568 CTE: 0.1498 Steering Value: -0.173241
